article_title,venue,article_link,cluster_id,support,support_fraction,models_present,actionable,impact,evidence,avg_confidence,centroid_confidence,SOUND,PRECISE,CATEGORY
17,FSE/FSE 18/17.pdf,https://doi.org/10.1145/3236024.3275441,1,4,4/5,deepseek|gpt|mixtral|qwen,"Open source project maintainers should pursue a multifaceted strategy to ameliorate the gender gap present in their communities, and not rely on a written social policy alone.",Improve gender diversity by addressing the gender gap through multiple approaches beyond a code of conduct.,"The study found no significant difference in gender diversity between projects with or without a code of conduct (p = 0.44); projects with a code of conduct saw women participation increase from 2.37% to 3.81% (1.44 pp), while projects without a code of conduct increased from 4.10% to 5.53% (1.43 pp), indicating that a written social policy alone is insufficient to improve gender diversity.",0.925,0.95,YES,NO,New Contributor Onboarding and Involvement | Community Collaboration and Engagement | Project Management and Governance
9,FSE/FSE 18/9.pdf,https://doi.org/10.1145/3236024.3236058,1,3,3/5,deepseek|mixtral|qwen|gemma,Integrate Paf with automated test generation tools like Randoop to prioritize failing tests based on dataflow analysis.,"Improves fault detection rate by prioritizing likely fault-revealing tests first, achieving a precision of 78.8% in identifying such failures.","The experimental results show that Paf effectively clusters fault revealing tests with a precision of 78.8%, successfully prioritizing them over non-fault-revealing ones.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
9,FSE/FSE 18/9.pdf,https://doi.org/10.1145/3236024.3236058,3,2,2/5,mixtral|qwen|gemma,"Calculate the likelihood of precondition violations by measuring the proportion of def-use associations reaching the crash statement that are covered by passing tests, and reorder failing tests in reverse order of this likelihood.",Improves prioritization effectiveness and fault detection rate by reducing ambiguities from inadequate dynamic invariants or raw test counts.,"PAF consistently achieved at least 90% APFD score for most subjects, outperforming JCrasher and Daikon, and identified 216 fault-revealing failures out of 274 with a precision of 78.8%.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
9,FSE/FSE 18/9.pdf,https://doi.org/10.1145/3236024.3236058,2,2,2/5,deepseek|qwen|gemma,"Partition failure-inducing dataflows into local or non-local categories based on whether the crash origin is executed after the method under test's entry point, and prioritize local flows higher.",Accurately classifies fault-revealing tests because local flows are wholly induced by the method's implementation rather than violating implicit preconditions.,"PAF achieved at least 100% precision or recall for all subjects in locality-based partitioning, and four newly detected local flows were confirmed and fixed by developers.",0.9,0.95,YES,YES,Automated Testing and Quality Assurance
16,FSE/FSE 18/16.pdf,https://doi.org/10.1145/3236024.3275434,1,3,3/5,deepseek|mixtral|qwen|gemma,"Use T2R, a tool that specializes Java 8 Functional Interface usages, for safe and scalable type migration in large codebases.",Improves maintainability of large-scale projects by automatically converting uses of generic functional interfaces to specialized ones.,"T2R was evaluated on codebases as large as 790 KLOC for specializing functional interfaces, and open source developers accepted 70 migration patches spanning over 202 files.",0.9167,0.95,YES,YES,Code Standards and Maintainability
16,FSE/FSE 18/16.pdf,https://doi.org/10.1145/3236024.3275434,2,2,2/5,gpt|qwen|gemma,"Integrate type migration refactoring tools directly into build systems (e.g., Gradle, Maven, Ant) instead of relying solely on IDE-dependent plugins.","Enables scalable, automated type migrations that fit seamlessly into modern Continuous Integration (CI) workflows for ultra-large-scale codebases.","The authors state that IDE-dependent tools cannot leverage CI workflows, whereas their build-system-integrated approach scales to projects up to 790 KLOC and completes analysis in under five seconds per project.",0.925,0.9,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
16,FSE/FSE 18/16.pdf,https://doi.org/10.1145/3236024.3275434,3,2,2/5,deepseek|qwen,"Configure automated migration tools to filter preconditions and exclude specified packages, classes, or methods before applying transformations.",Prevents unintended code changes from proliferating into external libraries or critical application logic during refactoring.,"The T2R approach explicitly applies preconditions to stop changes from affecting external libraries, resulting in 70 accepted patches out of 81 sent to developers across seven mature open-source projects.",0.85,0.85,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
**Intelligent Bug Fixing with Software Bug Knowledge Graph**,FSE/FSE 18/15.pdf,https://doi.org/10.1145/3236024.3275428,1,3,3/5,deepseek|mixtral|qwen,"Use a knowledge graph for bug fixing by acquiring bug data, constructing a bug knowledge graph, classifying bugs, locating bugs, and recommending bug fixes.",Improved bug fixing efficiency and accuracy through comprehensive analysis and characterization of bugs using the powerful association and reasoning functionality of knowledge graphs.,"Section 3.1 of the article, which describes the process of automatic classification for intelligent bug fixing based on a bug knowledge graph.",0.85,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
**Intelligent Bug Fixing with Software Bug Knowledge Graph**,FSE/FSE 18/15.pdf,https://doi.org/10.1145/3236024.3275428,2,3,3/5,deepseek|mixtral|qwen,Adopt a knowledge graph-based system to integrate multi-source software data for bug fixing.,Improves efficiency in obtaining and using bug knowledge accurately.,The article discusses the challenges of information overload and proposes a knowledge graph approach to address these issues.,0.85,0.85,YES,NO,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
13,FSE/FSE 18/13.pdf,https://youtu.be/AO-YCH8vGzQ.,2,3,3/5,deepseek|mixtral|qwen|gemma,Adopt SketchFix for automated program repair in Java projects.,"Reduces re-compilations and re-executions by 98.4% and 97%, respectively, compared to traditional methods.",SketchFix requires only 1.6% of re-compilations and 3% of re-executions out of all repair candidates when it finds the first repair.,0.95,0.95,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | CI/CD and DevOps Automation
13,FSE/FSE 18/13.pdf,https://youtu.be/AO-YCH8vGzQ.,1,2,2/5,mixtral|qwen,Prioritize repair transformations that introduce minimal perturbations to the original code structure.,Mitigates the overfitting issue and increases the likelihood that synthesized patches are semantically correct and acceptable to developers.,The authors note that 'patches that are semantically closer to the original programs are more likely to be correct' and explicitly designed their ranking strategy to mitigate overfitting [14].,0.875,0.85,YES,YES,Code Standards and Maintainability
13,FSE/FSE 18/13.pdf,https://youtu.be/AO-YCH8vGzQ.,3,1,1/5,qwen,Rank suspicious code locations and candidate variables based on their proximity to the fault during automated debugging.,Improves repair efficacy by focusing synthesis efforts on the most relevant code elements first.,"The tool employs Ochiai fault localization, which empirical studies show is 'effective on localizing defects in object-oriented programs' [19], and ranks variables by statement distance based on usage likelihood [9].",0.8,0.8,YES,YES,Automated Testing and Quality Assurance
2,FSE/FSE 22/2.pdf,https://doi.org/10.1145/3540250.3549086,3,4,4/5,deepseek|gpt|mixtral|qwen,Leverage joint embedding to distinguish the representation of correct and buggy MUTs concerning the result of tests.,Improves the accuracy of test oracles by semantically separating the representation of correct and buggy MUTs in the embedding space.,"Experiments on applying SEER to more than 5K unit tests from a diverse set of open-source Java projects show that the produced oracle is effective in predicting the fail or pass labels, achieving an overall accuracy, precision, recall, and F1 measure of 93%, 86%, 94%, and 90%.",0.9375,0.95,YES,YES,Automated Testing and Quality Assurance
2,FSE/FSE 22/2.pdf,https://doi.org/10.1145/3540250.3549086,1,3,3/5,gpt|mixtral|qwen,Use the publicly available SEER implementation and artifacts to integrate the oracle into your testing pipeline.,Enables immediate adoption of the oracle for automated test result prediction.,SEER’s implementation and artifacts are publicly available [2].,0.9167,0.9,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
2,FSE/FSE 22/2.pdf,https://doi.org/10.1145/3540250.3549086,2,1,1/5,qwen|gemma,Augment training datasets for learning-based oracles with a higher proportion of real-world bugs alongside synthetic mutations.,Resolves performance gaps on unique real-world defects by improving the model's ability to generalize beyond limited mutation operators.,SEER correctly predicted 95% of higher-order mutants but only 80% of real Defects4J bugs; the authors attribute this gap to the uniqueness of real bugs and suggest it 'can be resolved by including more real bugs in the training dataset.' (Section 5.2),0.8,0.8,YES,YES,Automated Testing and Quality Assurance
**Automated Patch Extraction via Syntax- and Semantics-Aware Delta Debugging on Source Code Changes**,FSE/FSE 18/7.pdf,https://doi.org/10.1145/3236024.3236047,1,3,3/5,deepseek|gpt|qwen|gemma,Use abstract syntax tree (AST) differencing instead of plain text differencing when analyzing source code changes for automated patch extraction or regression debugging.,Significantly reduces the size of extracted patches while maintaining high build success rates and slightly increasing test execution overhead.,"DDJ using AST differencing extracted patches 37% smaller in tokens than the plain-text baseline (DDP) on Defects4J, and reduced patch size by 73% on real-life regressions, with build success rates of 0.976 and 0.946 respectively compared to DDP's 0.786 and 0.226.",0.9667,0.95,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
**Automated Patch Extraction via Syntax- and Semantics-Aware Delta Debugging on Source Code Changes**,FSE/FSE 18/7.pdf,https://doi.org/10.1145/3236024.3236047,3,3,3/5,gpt|mixtral|qwen|gemma,Apply staged delta debugging (hierarchical delta debugging) to accelerate the delta debugging process by exploiting dependencies between tree hunks and the hierarchical structure of the AST delta.,Accelerates the DD process by reducing the number of test executions needed to isolate failure-inducing changes.,Section 5.2 describes staged delta debugging as a method that accelerates DD by exploiting dependencies between tree hunks and the hierarchical structure of the AST delta.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
**Automated Patch Extraction via Syntax- and Semantics-Aware Delta Debugging on Source Code Changes**,FSE/FSE 18/7.pdf,https://doi.org/10.1145/3236024.3236047,2,2,2/5,deepseek|qwen|gemma,Decompose source code changes into independent components using syntactic and semantic coupling rules before applying delta debugging algorithms.,"Prevents invalid subsets that cause build failures, ensuring that any applied subset of changes results in a testable program.","The syntax- and semantics-aware approach caused far fewer build failures than the baseline (DDP), achieving a 0.976 build success rate on Defects4J and 0.946 on real-life regressions, compared to DDP's rates of 0.786 and 0.226.",0.975,0.95,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
13,FSE/FSE 22/13.pdf,https://doi.org/10.1145/3540250.3549126,4,2,2/5,deepseek|mixtral|gemma,"Use DynaPyt, a dynamic analysis framework for Python, to implement dynamic analyses with little effort and at the desired abstraction level.",Enhances execution time of analyses compared to built-in tracing methods.,Experiments show that DynaPyt analyses can be 5.6%-88.6% faster than sys.settrace ones.,0.925,0.95,YES,YES,Automated Testing and Quality Assurance
13,FSE/FSE 22/13.pdf,https://doi.org/10.1145/3540250.3549126,1,2,2/5,deepseek|qwen|gemma,Adopt DynaPyt as a general-purpose framework for implementing dynamic analyses on Python programs instead of writing ad-hoc tracing scripts.,Allows developers to concisely implement analyses and observe or manipulate runtime events without reinventing instrumentation infrastructure.,"The authors note that practitioners currently resort to ad-hoc implementations due to a lack of suitable frameworks, while DynaPyt provides 97 hierarchical hooks and execution modification capabilities (Abstract, Section 1).",0.9,0.85,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
13,FSE/FSE 22/13.pdf,https://doi.org/10.1145/3540250.3549126,2,2,2/5,mixtral|qwen,Utilize DynaPyt's pay-per-use principle and event hierarchy to selectively instrument only the specific runtime events required for your analysis.,"Minimizes runtime overhead by scaling instrumentation cost strictly with the complexity of the selected events, avoiding unnecessary tracing costs.","Evaluation results show that selective instrumentation reduces overhead significantly, with subset-tracking analyses running 5.6%–88.6% faster than Python's built-in sys.settrace (Section 3.5, Figure 4).",0.9,0.9,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
13,FSE/FSE 22/13.pdf,https://doi.org/10.1145/3540250.3549126,3,2,2/5,deepseek|qwen|gemma,Implement dynamic bug detectors and security analyzers using DynaPyt's source-level analysis hooks to detect anti-patterns and vulnerabilities in real-world Python codebases.,"Facilitates the detection of performance issues and security flaws with minimal implementation effort, improving code quality and maintainability.","The authors successfully implemented analyses like KeyInList and SimpleTaint in at most 53 lines of code, detecting real-world vulnerabilities and performance anti-patterns across evaluated projects (Section 3.4, Table 5).",0.875,0.85,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | Security Best Practices and Legal Compliance
11,FSE/FSE 13/11.pdf,http://dx.doi.org/10.1145/2491411.2492407,1,2,2/5,deepseek|mixtral,Use service-oriented approaches in combination with open source components and open standard data formats for developing web and mobile software tools.,"Paves the way towards an open, extensible architecture.",Initial results indicate this approach's effectiveness.,0.925,0.9,YES,NO,Code Standards and Maintainability
11,FSE/FSE 13/11.pdf,http://dx.doi.org/10.1145/2491411.2492407,2,2,2/5,deepseek|mixtral,"Implement an open architecture model based on non-functional characteristics such as flexibility, evolvability, customizability, and extensibility.",Provide an abstract depiction of the open architecture system that can guide the design and development of the architecture based on these non-functional characteristics.,"The expected contribution includes developing an instance of the open system architecture that reflects upon the non-functional characteristics relying on flexibility, evolvability, customizability, and extensibility.",0.875,0.85,YES,NO,Code Standards and Maintainability
11,FSE/FSE 13/11.pdf,http://dx.doi.org/10.1145/2491411.2492407,3,1,1/5,deepseek,Utilize open source components and open standards data formats in system development.,Shorten development time and allow customization without access to source code.,"The notion of customizability in our case has been tackled by utilizing open source components and open data standards, which made our system easily address needs for different settings, substantially shortening the development time.",0.9,0.9,NO,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
11,FSE/FSE 13/11.pdf,http://dx.doi.org/10.1145/2491411.2492407,4,1,1/5,deepseek,"Adopt a Goal, Question, Metric (GQM) approach for validation and measurement of software systems.",Provide a mechanism to interpret data collected and understand if goals are met in an operational and measurable way.,"The validation process is based on the GQM approach, which defines goals, refines them into questions, and defines metrics to provide answers to these questions.",0.8,0.8,YES,YES,Automated Testing and Quality Assurance | Project Management and Governance
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,1,3,3/5,deepseek|gpt|mixtral|gemma,"Use MemFix to automatically repair memory deallocation errors (memory leaks, double-frees, and use-after-frees) in C programs.",MemFix can automatically fix memory deallocation errors without introducing new errors.,"MemFix fixed all 210 test cases in the Juliet Test Suite, repaired 12 out of 24 programs in Coreutils, and fixed 37% of 100 model programs from open‑source repositories.",0.9333,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | Security Best Practices and Legal Compliance
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,2,1,1/5,gpt,Use a partial MAX‑SAT solver with soft constraints to optimize patch selection for minimal inserted deallocation statements and early deallocation.,Optimized patches reduce the number of inserted deallocation statements and deallocate objects as early as possible.,The article describes using a partial MAX‑SAT solver with soft constraints (1) and (2) to find such optimal solutions.,0.9,0.9,YES,YES,Code Standards and Maintainability
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,3,1,1/5,gpt,Use a SAT solver to solve the exact cover problem derived from static analysis for selecting correct patches.,Ensures that the selected patches correctly deallocate all objects without double‑frees or use‑after‑frees.,The article states that MemFix solves the exact cover problem by encoding it as boolean satisfiability and leveraging an off‑the‑shelf SAT solver.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,4,1,1/5,gpt,Use a variant of typestate analysis to collect patch candidates for each allocated object.,"Provides precise patch candidates for each allocated object, enabling correct patch generation.",The article describes using a variant of typestate analysis to maintain points‑to and patch information for each allocated object.,0.9,0.9,YES,YES,Automated Testing and Quality Assurance
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,5,1,1/5,gpt,Use a fully context‑sensitive analysis (except for recursion) using the call‑strings method to analyze the program.,"Improves precision of the static analysis, leading to more accurate patch generation.",The article states that the current implementation performs a fully context‑sensitive analysis using the call‑strings method.,0.9,0.9,YES,YES,NONE
1,FSE/FSE 18/1.pdf,https://doi.org/10.1145/3236024.3236079,6,1,1/5,gpt,Ignore deallocation statements during static analysis to avoid false positives.,Ensures that the analysis focuses on potential deallocation points without being influenced by existing free statements.,"The article states that the static analysis ignores deallocation statements, which has the effect of removing them from the program prior to the analysis.",0.9,0.9,YES,YES,Automated Testing and Quality Assurance
14,FSE/FSE 18/14.pdf,https://youtu.be/T5NIVsV329E.,2,4,4/5,deepseek|gpt|mixtral|qwen,Use ASketch to automatically complete partial Alloy models by providing a generator for candidate fragments and AUnit tests.,"ASketch can handle partial Alloy models with multiple holes and a large search space, improving model correctness and reducing debugging effort.",ASketch successfully handled up to 15 holes and a search space of more than 4.4e11 possible candidate solutions in 7 seconds.,0.925,0.9,YES,YES,Automated Testing and Quality Assurance
14,FSE/FSE 18/14.pdf,https://youtu.be/T5NIVsV329E.,1,2,2/5,gpt|qwen,Provide generators that specify candidate fragments semantically equivalent to the desired components for each hole in a partial Alloy model.,Increases the likelihood of generating the desired solution in fewer iterations.,The authors state that providing semantically equivalent fragments makes ASketch 'more likely to generate the desired solution in a few iterations.',0.9,0.85,YES,YES,Automated Testing and Quality Assurance
14,FSE/FSE 18/14.pdf,https://youtu.be/T5NIVsV329E.,4,2,2/5,gpt|qwen,Limit the number of holes and candidate fragments per hole in partial models to reduce search space size.,Reduces constraint-solving complexity and improves performance when handling large models.,"The authors note that a large number of holes with many candidates creates a 'large search space,' which increases primary variables and clauses, slowing down solving (e.g., the ctree model took over 6 seconds).",0.85,0.8,YES,YES,Code Standards and Maintainability
14,FSE/FSE 18/14.pdf,https://youtu.be/T5NIVsV329E.,3,1,1/5,qwen,Set the Alloy scope parameter to be at least the minimum necessary to satisfy all provided AUnit tests.,Optimizes solving time by avoiding unnecessarily large search spaces while ensuring valid solutions are found.,"The usage guide specifies the scope should be 'typically larger than or equal to the minimum scope necessary,' and evaluation shows solving times range from 96ms to 6473ms depending on meta-model complexity.",0.85,0.85,YES,YES,Automated Testing and Quality Assurance
9,FSE/FSE 19/9.pdf,https://doi.org/10.1145/3338906.3338941,3,4,4/5,deepseek|gpt|mixtral|qwen,"Train vulnerability prediction models using only vulnerabilities that are known at the time of training, excluding future vulnerabilities.",prevents inflated performance results and yields realistic predictions.,"The unrealistic use of unreported vulnerabilities at the training time gives optimistic prediction performance (MCC of 0.77, 0.65 and 0.43 for Linux, OpenSSL and Wiresark), which significantly degrades when using a more realistic training scenario (MCC of 0.08, 0.22, 0.10).",0.85,0.9,YES,YES,Security Best Practices and Legal Compliance
9,FSE/FSE 19/9.pdf,https://doi.org/10.1145/3338906.3338941,1,3,3/5,deepseek|gpt|qwen,Upgrade experimental methodology for vulnerability prediction evaluation by accounting for realistic temporal constraints in labeling rather than assuming perfect future knowledge.,Ensures robust and actionable scientific findings that accurately reflect model effectiveness.,"MCC mean values drop from 0.77, 0.65, and 0.43 to 0.08, 0.22, and 0.10 for Linux Kernel, OpenSSL, and Wireshark when realistic labeling is used.",0.8833,0.95,YES,YES,Security Best Practices and Legal Compliance
9,FSE/FSE 19/9.pdf,https://doi.org/10.1145/3338906.3338941,2,2,2/5,gpt|qwen,Apply Synthetic Minority Over-sampling Technique (SMOTE) during model training to address class imbalance in vulnerability datasets.,Yields statistically significantly better performance metrics across all approaches and classifiers.,Wilcoxon signed rank test showed SMOTE has a positive effect with p-value < 0.005 for all examined combinations.,0.85,0.8,YES,YES,Automated Testing and Quality Assurance | Security Best Practices and Legal Compliance
9,FSE/FSE 19/9.pdf,https://doi.org/10.1145/3338906.3338941,4,1,1/5,gpt,"Use Random Forest as the classifier for vulnerability prediction, trained on the last three releases with SMOTE.",achieves best results in all cases.,"The best classifier is Random Forest (it achieves the best results in all cases). In conclusion, in the rest of our analysis we use the following settings: training using SMOTE on the last three releases with the Random Forest classifier.",0.9,0.9,YES,YES,Security Best Practices and Legal Compliance
7,FSE/FSE 13/7.pdf,http://sailhome.cs.queensu.ca/replication/representativeness/,1,3,3/5,deepseek|mixtral|qwen|gemma,"Report the target population (universe), relevant dimensions (space), and configuration alongside any coverage score in empirical studies.",Enhances the ability to reason about findings and assess the context under which results are applicable.,"The authors propose this as a reporting guideline in the Abstract and Section 4.3, noting that it allows researchers to understand why certain dimensions (e.g., programming language) may be underrepresented.",0.9667,0.95,YES,YES,Documentation Practices
7,FSE/FSE 13/7.pdf,http://sailhome.cs.queensu.ca/replication/representativeness/,2,2,2/5,mixtral|qwen|gemma,Select OSS projects that maximize diversity rather than similarity when building a sample for empirical research.,"Increases the coverage of the target universe, leading to more generalizable and representative findings across different project characteristics.","Section 2.4 states that selecting diverse projects increases coverage; Figure 3 demonstrates that systematically adding diverse projects (e.g., the first 50) covers 15.3% of the Ohloh universe, scaling to 100% with more projects.",0.925,0.9,YES,NO,NONE
7,FSE/FSE 13/7.pdf,http://sailhome.cs.queensu.ca/replication/representativeness/,3,1,1/5,qwen|gemma,Discuss any potential problems or gaps in sample coverage within the 'Threats to Validity' or 'Limitations' section of a research paper.,Improves external validity and provides readers with necessary context to evaluate the generalizability of the study's results.,"Section 4.3 explicitly recommends this practice, and Section 4.1 illustrates how reporting coverage scores (e.g., 0.0028 for a Java-focused study) clarifies result applicability rather than invalidating them.",0.9,0.9,YES,YES,NONE
7,FSE/FSE 13/7.pdf,http://sailhome.cs.queensu.ca/replication/representativeness/,4,1,1/5,qwen,Utilize the provided R implementation to compute sample coverage scores and systematically identify additional OSS projects that maximize coverage.,"Enables efficient, data-driven project selection that reduces resource waste on redundant samples while maximizing representativeness.","Section 2.5 provides the R package URL; Section 3.1 applies it to a universe of 20,028 Ohloh projects, showing how the next_projects algorithm prioritizes projects based on their coverage increase (e.g., Table 1 lists top candidates by percentage increase).",0.9,0.9,YES,YES,NONE
**Inferring Project-Specific Bug Patterns for Detecting Sibling Bugs**,FSE/FSE 13/9.pdf,http://sa.seforge.org/SiblingBugDetetor,1,2,2/5,deepseek|mixtral|gemma,Infer PSBPs from actual fix revisions and apply them to detect related remaining sibling bugs for projects under analysis.,"Enables systematic detection of remaining sibling bugs based on existing fixes, improving the sustainability and maintenance of OSS projects.","The paper demonstrates that SBD effectively reports 63 true sibling-bug warnings for seven real-world open-source projects, while two existing popular static bug detectors (FindBugs and PMD) could not report most of them.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
**Inferring Project-Specific Bug Patterns for Detecting Sibling Bugs**,FSE/FSE 13/9.pdf,http://sa.seforge.org/SiblingBugDetetor,2,1,1/5,deepseek,Integrate SBD into the development workflow to systematically address incomplete fixes in bug-fixing processes.,"Reduces the likelihood of leaving unresolved sibling bugs, leading to more thorough and reliable code maintenance.","SBD's approach leverages existing fixes to infer PSBPs and detect remaining issues, as demonstrated across multiple real-world projects.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
16,FSE/FSE 20/16.pdf,https://doi.org/10.1145/3368089.3417920,1,4,4/5,deepseek|gpt|mixtral|qwen,Set explicit time budget constraints when querying dynamic slices during continuous integration to ensure analysis completes within available task windows.,Enables developers to quickly test system changes and prioritize regression tests without exceeding CI time limits.,"Dads successfully answered queries within user-specified budgets (14–200 seconds) across eight real-world distributed systems, averaging 40 seconds per query, while the baseline took 140 seconds on average and failed to scale to larger systems like Voldemort.",0.9375,0.95,YES,YES,CI/CD and DevOps Automation
16,FSE/FSE 20/16.pdf,https://doi.org/10.1145/3368089.3417920,3,3,3/5,deepseek|mixtral|qwen,Use Dads for dynamic slicing of continuously-running distributed Java systems with user-specified budget constraints.,Dads achieves and maintains practical scalability and cost-effectiveness tradeoffs according to a given budget on analysis time by continually and automatically adjusting the configuration of its analysis algorithm on the fly via reinforcement learning.,"Against eight real-world Java distributed systems, Dads demonstrated 3x faster response times and significantly lower overheads compared to the baseline tool Doda.",0.9333,0.95,YES,YES,Automated Testing and Quality Assurance
